"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","场景分类","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例","执行方式","合入阶段","执行人","责任人","自动化-是否已实现"
"1653313","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","按键时滚动","","1. 打开设置界面，检查按键时滚动设置
2. 终端内容超过一屏，输入ls -al按enter键执行命令，再次按enter键
3. 取消勾选按键时滚动，ls -al按enter键执行命令，再次按enter键
4. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认勾选
2. 自动滚动到光标处
3. 页面不会滚动
4. scroll_on_key=true表示勾选，否则显示为false","1. 
2. 
3. 
4.","自动化","2","功能测试","","功能测试阶段","正常","0","3","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653311","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","启动时使用普通、分屏、最大化和全屏窗口","","1. 打开设置界面，检查启动时使用默认设置
2. 检查下拉菜单显示
3. 设置为最大化，新建窗口
4. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf
5. 注意：窗口大小是保存最后关闭一个的窗口大小","1. 默认显示为正常窗口
2. 正常窗口、分屏、全屏、最大化
3. 窗口最大化显示
4. use_on_starting显示和设置界面显示一致
5. 操作成功","1. 
2. 
3. 
4. 
5.","自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653309","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","丢失焦点隐藏雷神窗口","","1. 打开终端，点击右键-设置，在弹出的设置对话框中，查看“丢失焦点后自动隐藏雷神窗口”默认值
2. 打开雷神模式，将焦点点击到其他地方，查看雷神窗口显示
3. 勾选“丢失焦点后自动隐藏雷神窗口”，然后打开雷神模式，将焦点点击到其他地方，查看雷神窗口显示","1. 默认不勾选
2. 雷神窗口不会隐藏，会一直显示
3. 雷神窗口会自动隐藏","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653307","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","背景模糊","","1. 打开终端，点击右键-设置，在弹出的设置对话框中，查看“背景模糊”默认值
2. 勾选“背景模糊”，查看终端显示
3. 取消勾选“背景模糊”，查看终端背景显示","1. 默认不勾选“背景模糊”
2. 如果透明度是1，终端背景不模糊显示；调节透明度后，背景模糊显示
3. 终端背景不模糊显示","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653305","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","恢复默认","","1. 打开设置界面，检查页面最下方显示
2. 不做任何修改，点击恢复所有按钮
3. 修改任意参数，点击恢复按钮","1. 显示恢复所有设置按钮
2. 可以点击，界面保持不变
3. 被修改的数据恢复默认，检查对应配置文件也生效","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","1","2","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653303","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","输出时滚动","","1. 打开设置界面，检查输出时滚动设置
2. 执行命令 sleep 10&& ls -al 然后将界面向上滚动，等待命令执行完成后，检查界面显示
3. 取消勾选输出时滚动，再次执行上面的命令，检查界面是否滚动
4. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf
5. 执行命令 sleep 10&& ls -al 然后将界面向上滚动，等待命令执行完成后，检查界面显示","1. 默认勾选
2. 界面会向下滚动，并出现滚动条
3. 命令完成时不会出现滚动
4. scroll_on_output=true默认输出时滚动，false则表示不滚动
5. 界面不会滚动","1. 
2. 
3. 
4. 
5.","自动化","2","功能测试","","功能测试阶段","正常","1","3","5","失败","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653301","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","普通窗口Ctrl+S和Ctrl+Q流控制","","1. 打开终端，进入设置，高级设置
2. 点击shell分类选项
3. 勾选“禁用Ctrl+S和Ctrl+Q流控制”，在终端中使用快键“Ctrl+S”
4. 不勾选“禁用Ctrl+S和Ctrl+Q流控制”，在终端中使用“Ctrl+S”
5. 在终端中输入任意命令
6. 点击文案提示框的“ｘ”按钮
7. 键盘按下“Ctrl+Q”
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 有shell分类选项
2. shell分类下有“禁用Ctrl+S和Ctrl+Q流控制”选项；checkbox复选框默认不勾选；界面显示与UI设计一致
3. 无反应，可以正常输入命令
4. 弹出提示文案“已经按下Ctrl+S，输出被挂起。可以按下Ctrl+Q继续。”
5. 终端中的输入被挂起，输入的命令无法显示在终端中
6. 文案提示框被关闭
7. 输入恢复，之前被禁用数据被恢复","1. 
2. 
3. 
4. 
5. 
6. 
7.","1040二期需求","1","功能测试","","功能测试阶段
冒烟测试阶段","正常","1","27","7","通过","熊能","2024-07-19","Bot-Helper","2026-05-27","1","","","","陈依","","是",""
"1653299","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","分屏窗口中Ctrl+S和Ctrl+Q流控制","","1. 打开终端，做横向分屏、纵向分屏操作
2. 进入设置shelll分类下，不勾选“禁用Ctrl+S和Ctrl+Q流控制”选项
3. 在左边工作区中使用快键“Ctrl+S”
4. 在右边工作区中使用快键“Ctrl+S”
5. 点击文案提示框的“ｘ”按钮，键盘按下“Ctrl+Q”，输入命令
6. 进入设置shelll分类下，勾选“禁用Ctrl+S和Ctrl+Q流控制”选项
7. 在下方工作区种使用快键“Ctrl+S”
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 1个标签页显示3个工作区
2. checkbox复选框不勾选
3. 左边焦点在的工作区弹出提示文案“已经按下Ctrl+S，输出被挂起。可以按下Ctrl+Q继续。”
4. 右边焦点在工作区弹出提示文案“已经按下Ctrl+S，输出被挂起。可以按下Ctrl+Q继续。”
5. 文案提示框被关闭，输入恢复，之前被禁用数据被恢复
6. checkbox复选框被勾选
7. 无反应，可以正常输入命令
Notes:键盘交互不用考虑焦点到X按钮，Ctrl+Q可以关闭此弹框","1. 
2. 
3. 
4. 
5. 
6. 
7.","1040二期需求","2","功能测试","","功能测试阶段","正常","0","2","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653297","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","多个窗口/多工作区中Ctrl+S和Ctrl+Q流控制","不勾选“禁用Ctrl+S和Ctrl+Q流控制”选项","1. 打开终端，新建多个终端窗口，其中一个窗口键盘按Ctrl+S
2. 其窗口新建多个工作区，其中一个工作区键盘按Ctrl+S
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 只要当前窗口弹出“已经按下Ctrl+S，输出被挂起。可以按下Ctrl+Q继续。”，其它窗口不弹，可以正常输入内容
2. 只要当前工作区弹出“已经按下Ctrl+S，输出被挂起。可以按下Ctrl+Q继续。”，其它窗口不弹，可以正常输入内容
Notes:键盘交互不用考虑焦点到X按钮，Ctrl+Q可以关闭此弹框","1. 
2.","1040二期需求","2","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653295","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","选中文字时自动复制到剪贴板选项勾选与不勾选功能","","1. 打开终端，进入设置高级设置检查选中文字时自动复制到剪贴板选项
2. 在终端中选中需要复制的内容，到需要粘贴的地方做粘贴操作
3. 再进入设置取消勾选选中文字时自动复制到剪贴板复选框按钮
4. 在终端中选中需要复制的内容，到需要粘贴的地方做粘贴操作","1. 复选框 默认是勾选状态
2. 复制的内容粘贴成功
3. 复选框取消勾选
4. 选中的内容没有粘贴成功","1. 
2. 
3. 
4.","1040四期需求","2","功能测试","","功能测试阶段","正常","0","3","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653281","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","粘贴","","1. 打开设置界面，检查默认粘贴显示
2. 使用快捷键进行粘贴
3. 修改快捷键为其他；如ctrl+e；使用修改后的快捷键
4. 使用旧的快捷键
5. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认：ctrl+shift+v
2. 粘贴成功
3. 粘贴成功
4. 旧的快捷键不生效
5. paste值和界面设置一致","1. 
2. 
3. 
4. 
5.","通用、自动化","3","功能测试","","功能测试阶段
冒烟测试阶段","正常","0","10","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653271","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","全选","","1. 打开设置界面，检查全选默认
2. 使用默认快捷键
3. 修改快捷键为其他，如ctrl+A；使用修改后的快捷键
4. 使用旧的快捷键
5. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认：ctrl+shift+a
2. 窗口内容被全部选中
3. 快捷键生效
4. 旧的快捷键不生效
5. select_all的值和界面设置一致","1. 
2. 
3. 
4. 
5.","自动化","3","功能测试","","功能测试阶段","正常","0","6","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653269","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","新建标签页","","1. 打开设置界面，检查新建标签页默认显示
2. 使用默认快捷键
3. 修改快捷键为其他，例如ctrl+t；使用新的快捷键
4. 使用旧的快捷键
5. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认：ctrl+shift+t
2. 新建标签页
3. 新的快捷键生效
4. 旧的快捷键不生效
5. new_tab值和界面设置一致","1. 
2. 
3. 
4. 
5.","1040、自动化","3","功能测试","","功能测试阶段
冒烟测试阶段","正常","0","17","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653265","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","关闭标签页","","1. 打开设置界面，检查关闭标签页的默认快捷键显示
2. 使用默认快捷键
3. 修改快捷键为其他；如 ctrl+W检查新的快捷键是否生效
4. 使用旧的快捷键
5. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认显示：alt+w
2. 标签页被关闭
3. 新修改的快捷键使用正常
4. 旧的快捷键不生效
5. close_tab值和设置界面显示一致","1. 
2. 
3. 
4. 
5.","1040、自动化","3","功能测试","","功能测试阶段","正常","1","6","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653259","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","纵向分屏","","1. 打开设置界面，检查纵向分屏默认快捷键显示
2. 使用默认快捷键，检查纵向分屏显示
3. 修改快捷键为其他，如：ctrl+shift+m使用新的快捷键
4. 使用旧的快捷键`
5. 检查配置文件 cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认：ctrl+shift+j
2. 屏幕被分为左右2个屏
3. 快捷键生效
4. 旧的快捷键不会生效
5. vertical_split和设置界面保持一致","1. 
2. 
3. 
4. 
5.","自动化","3","功能测试","","功能测试阶段","正常","0","4","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653253","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","选择下面的工作区","","1. 打开设置界面，检查选择下面的工作区默认快捷键显示
2. 使用默认快捷键
3. 修改快捷键为其他，如 ctrl+j使用新的快捷键
4. 使用旧的快捷键
5. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认：alt+down
2. 选择下面的工作区
3. 新的快捷键生效
4. 旧的快捷键不生效
5. select_lower_workspace和设置界面显示一致","1. 
2. 
3. 
4. 
5.","1040、自动化","3","功能测试","","功能测试阶段","正常","0","4","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653247","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","关闭工作区","","1. 打开设置界面，检查关闭工作区默认快捷键显示
2. 使用默认快捷键
3. 修改快捷键为其他，如 ctrl+w使用新的快捷键
4. 使用旧的快捷键
5. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认Alt + Q
2. 关闭当前工作区
3. 新的快捷键生效
4. 旧的快捷键不生效
5. close_workspace和设置界面保持一致","1. 
2. 
3. 
4. 
5.","1040、自动化","3","功能测试","","功能测试阶段","正常","0","4","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653241","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","隐藏“显示快捷键”","","1. 打开设置界面，检查是否存在“显示快捷键”功能","1. 不显示“显示快捷键”功能","1.","自动化，需求变更，设置中隐藏“显示快捷键”菜单","3","功能测试","","功能测试阶段","正常","1","5","1","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653235","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面快捷键(#116121)","","标签页1~9快捷键功能","","1. 打开终端，进入设置，快捷键下
2. 新建工作区不大于9个，键盘按Ctrl+ Shift + 1 ~ Ctrl+ Shift + 9
3. 新建工作区大于9个，键盘按Ctrl+ Shift + 9
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 存在切换标签页1~9快捷键功能；默认快捷键“Ctrl+Shift+1”、“Ctrl+Shift+2”、“Ctrl+Shift+3” ... “Ctrl+Shift+9”；支持自定义快捷键功能
2. 分别切换到数字对应的标签
3. 切换到最后⼀个标签，⽽不是第 9 个标签","1. 
2. 
3.","1040一期需求、自动化","1","功能测试","","功能测试阶段
冒烟测试阶段","正常","0","25","3","通过","熊能","2024-07-19","Bot-Helper","2026-05-27","1","","","","陈依","","是",""
"1653231","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面基础设置(#116123)","","[016]设置界面显示","","1. 打开终端，右键/菜单栏选择设置，检查设置界面显示
2. 点击左边标题，检查右边内容显示
3. 鼠标移动到右边进行滚动","1. 和设计图显示一致，左边标题列表，右边显示具体参数设置（基础设置中不显示主题；终端设置界面去除关于；
高级设置下：光标闪烁中新增：选中文字时复制到剪贴板（默认开启）；
滚动设置中去除回滚行数；窗口设置中新增分屏、丢失焦点后隐藏雷神窗口（默认关闭）背景模糊（自动关闭）
2. 被选择的标题自动切换到最上方
3. 可以上下滚动查看","1. 
2. 
3.","自动化、门禁","1","功能测试","","功能测试阶段
冒烟测试阶段","正常","0","21","3","通过","熊能","2024-07-19","Bot-Helper","2026-05-26","3","","","","陈依","","是",""
"1653229","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面基础设置(#116123)","","透明度","","1. 检查设置界面主题透明度
2. 检查设置小透明度
3. 检查是否支持鼠标拖动滚动条
4. 检查配置文件修改前后： cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认透明度1
2. 最小值为0.2，界面显示几乎透明
3. 支持拖动滚动条修改透明度
4. opacity值和界面设置一致","1. 
2. 
3. 
4.","自动化","3","功能测试","","功能测试阶段
冒烟测试阶段","正常","0","17","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653223","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面基础设置(#116123)","","设置界面功能项显示","","1. 打开终端，主菜单点击设置
2. 检查设置左侧菜单栏显示
3. 点击基础设置
4. 点击快捷键
5. 点击高级设置
6. 点击恢复默认","1. 弹出设置窗口
2. 基础设置、快捷键、高级设置
3. 包括：界面、透明度、字体、字体大小
4. 包括：终端、工作区、其他快捷键
5. 光标包括：光标风格（默认⽅块）、光标闪烁（默认开启）、选中文本自动复制到剪贴板（默认开启）；
滚动中包括： 按键时滚动（默认打开）、输出时滚动（默认打开）
窗⼝设置中包括：普通窗⼝(默认）、分屏、最⼤化和全屏；背景模糊（默认关闭）、丢失焦点后隐藏雷神窗口（默认关闭）；
Shell：Shell配置：SHELL（默认）、bash、dash、rbash、sh;
禁用Ctrl+S和Ctrl+Q控制（默认关闭）
6. 设置界面恢复默认","1. 
2. 
3. 
4. 
5. 
6.","1040、自动化、门禁","2","功能测试","","功能测试阶段","正常","0","4","6","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653213","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","右键菜单显示项","","1. 进入终端，鼠标右键，检查右键菜单通用菜单显示
2. 打开终端，终端未选中内容，并且光标下不是超链接，点击右键菜单
3. 终端内没有选中内容，并且光标下是超链接，点击右键菜单
4. 终端中选中文本后，点击右键菜单
5. 终端中选中当前目录下的文件，点击右键菜单，点击“打开”菜单","1. 在文件管理器中打开、横向分屏、纵向分屏、关闭工作区、新建标签页、全屏、查找、编码、自定义命令、远程管理、设置；
2. 显示通用菜单项
3. 应该包括打开链接、复制链接、通用菜单
4. 应该包括复制、粘贴、搜索、通用菜单
5. 应该包括复制、粘贴、打开、搜索、通用菜单，会调用系统应用打开文件","1. 
2. 
3. 
4. 
5.","1040、自动化、门禁","2","功能测试","","功能测试阶段","正常","0","4","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653211","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","粘贴","","1. 复制字符，然后打开终端右键查看选项
2. 点击粘贴
3. 执行粘贴命令
4. 注销系统（或重启）后不做任何操作，打开终端右键查看选项菜单","1. 右键菜单第一个为粘贴选项
2. 自动复制相应信息到终端上
3. 可以正常执行
4. 没有粘贴选项","1. 
2. 
3. 
4.","通用、自动化","2","功能测试","","功能测试阶段","正常","0","4","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653207","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","自定义命令","","1. 终端右键选中自定义命令
2. 点击下方的添加自定义命令按钮
3. 鼠标点击终端","1. 右侧出现自定义命名栏
2. 进入添加自定义命令界面
3. 自定义命令栏隐藏","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","0","5","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653205","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","编码方式","","1. 右键菜单-编码
2. 鼠标任选某编码
3. 编码列表下拉
4. 鼠标点击终端非编码列表
5. 鼠标双击终端","1. 列出所有可用的编码格式，默认为utf8 格式
2. 选中后终端输出变为乱码/正常
3. 下拉列表可以查看所有的可选编码
4. 编码列表隐藏
5. 编码列表仍隐藏","1. 
2. 
3. 
4. 
5.","自动化","2","功能测试","","功能测试阶段","正常","0","4","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653199","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","远程管理","","1. 打开终端，右键菜单选择远程管理
2. 按空白处","1. 右侧显示出远程管理添加页面
2. 远程管理页面隐藏","1. 
2.","自动化","1","功能测试","","功能测试阶段","正常","4","7","2","通过","熊能","2024-07-19","许琪","2026-05-14","1","","","","胡诗敏","","",""
"1653197","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","[015]查找","","1. 打开终端，右键选择查找
2. 输入内容，按enter键","1. 窗口右上方显示查找框
2. 匹配内容高亮，搜索不到内容输入框爆红","1. 
2.","自动化、门禁","1","功能测试","","功能测试阶段
冒烟测试阶段
门禁测试阶段","正常","1","26","2","通过","熊能","2024-07-19","Bot-Helper","2026-04-28","1","","","","陈依","","是",""
"1653195","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","纵向分屏","","1. 打开终端，右键选择纵向分屏
2. 选择一个分屏窗口再次右键选择
3. 在步骤1基础上使用快捷键ctrl+shift+j","1. 窗口被分为2个，左右分屏
2. 右键中不显示纵向分屏选项
3. 窗口不会被纵向分屏","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段
冒烟测试阶段","正常","1","21","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653193","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","横向分屏","","1. 打开终端，右键选择横向分屏，检查屏幕显示
2. 再次右键选择
3. 在步骤1基础上，按快捷键ctrl+shift+h","1. 窗口被分为2个屏，上下分屏
2. 右键菜单中不显示横向分屏选项
3. 窗口不会被再次分屏","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段
冒烟测试阶段","正常","0","21","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653189","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","本地编码","","1. 打开终端，右键点击“编码”菜单
2. 打开终端列表
3. 首次进入终端检查终端默认编码
4. 右键菜单修改编码后，新建终端
5. 弹出编码选择列表点击终端","1. 终端右边窗口弹出编码选择列表
2. 当前的编码在可视区域内
3. 是UTF-8
4. 新建终端编码恢复默认UTF-8
5. 自动隐藏编码列表","1. 
2. 
3. 
4. 
5.","自动化、门禁","2","功能测试","","功能测试阶段","正常","0","4","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653185","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单工作区(#116125)","","插入不同类型标签标题格式","","1. 打开终端，进入设置基础设置下标签标题格式
2. 点击插入按钮，选择插入格式，程序名 %n
、当前目录（短）%d、当前目录（长）%D、会话编号 %#、用户名 %u、本地主机 %h、shell设定的窗口标题 %w
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 默认格式%w
2. 编辑框中显示选择插入选项，并且标签标题格式显示与选择的一致","1. 
2.","1040一期需求、自动化","1","功能测试","","功能测试阶段","正常","0","8","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653173","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单标签页(#116127)","","关闭其它标签页","","1. 打开终端，新建多个工作区
2. 鼠标焦点在标签上，点击右键菜单栏关闭其它标签页
3. 只有一个标签页，点击右键“关闭其它标签页”","1. 工作区新建成功
2. 关闭焦点以外的标签页
3. 关闭其它标签页置灰显示不可操作","1. 
2. 
3.","自动化、1040","1","功能测试","","功能测试阶段","正常","0","8","3","通过","熊能","2024-07-19","Bot-Helper","2026-05-27","1","","","","陈依","","是",""
"1653171","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单标签页(#116127)","","关闭标签页","","1. 打开终端，新建多个工作区
2. 鼠标焦点在标签上，点击右键菜单栏关闭标签页","1. 工作区显示正常
2. 关闭焦点所在的标签页","1. 
2.","自动化、1040","1","功能测试","","功能测试阶段","正常","0","9","2","通过","熊能","2024-07-19","Bot-Helper","2026-05-27","1","","","","陈依","","是",""
"1653169","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单标签页(#116127)","","标签页右键菜单","","1. 打开终端
2. 鼠标点击右键标签栏
3. 点击终端标签栏+，新建多个标签页
4. 鼠标点击右键标签栏
5. 鼠标放到标签栏，右键菜单点击关闭标签页
6. 鼠标放到标签栏，右键菜单点击关其它标签页
7. 终端有程序运行时，重复3～6步骤","1. 终端窗口显示正常
2. 显示关闭标签页、关闭其他标签页、重命名标题，只有一个标签页关闭其他标签页置灰显示
3. 新建标签页显示正常
4. 显示关闭标签页和关闭其他标签页
5. 当前标签页被关闭
6. 除了当前窗口其它标签栏窗口被关闭
7. 先弹出有程序运行弹框，操作后现象与3～6步骤一致","1. 
2. 
3. 
4. 
5. 
6. 
7.","1040、自动化","2","功能测试","","功能测试阶段","正常","0","4","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653163","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单标签页(#116127)","","标签页右键菜单重命名标题","","1. 打开终端，编辑器区右键菜单
2. 标签页点击鼠标右键
3. 点击重命名标签
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 右键菜单中不显示重命名标题
2. 显示重命名标题
3. 弹出重命名标题弹框；弹框样式显示与UI一致","1. 
2. 
3.","1040一期需求、自动化","1","功能测试","","功能测试阶段","正常","0","9","3","通过","熊能","2024-07-19","Bot-Helper","2026-05-27","1","","","","陈依","","是",""
"1653161","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/右键菜单标签页(#116127)","","插入标签标题格式功能","","1. 打开终端，标签页点击鼠标右键
2. 点击插入按钮，选择程序名 %n 、当前目录（短）%d、当前目录（长）%D、会话编号 %#、用户名 %u、本地主机 %h、shell设定的窗口标题 %w
3. 点击确定按钮
4. 点击取消按钮
5. 清空标签标题格式内容，点击确定
Notes:测试时一并测试触摸屏、触控板、键盘交互","1. 弹出重命名标签页弹框，标签标题格式输入框内容默认全选，标签标题格式与设置中一致
2. 标签标题格式输入框显示选择插入的格式
3. 重命名标签显示与选择的一致
4. 重命名标签保持不变
5. 标签标题显示为Terminal","1. 
2. 
3. 
4. 
5.","1040一期需求、自动化、门禁","1","功能测试","","功能测试阶段","正常","0","10","5","通过","熊能","2024-07-19","Bot-Helper","2026-04-28","1","","","","陈依","","是",""
